,Location,latitude,longitude
312,1800 JEFFERSON PARK AVE,38.028643,-78.5090309
313,1300 W MAIN ST,38.0333003,-78.4979216
314,1400 UNIVERSITY AVE,38.0339357,-78.4999725
315,1400 GROVE ST,38.0285298,-78.5025713
316,1600 UNIVERSITY AVE,38.0354566,-78.5010381
317,1100 W MAIN ST,38.0326228,-78.4963336
318,900 MONTROSE AVE,38.020345,-78.47761419999999
319,600 BLENHEIM AVE,38.023333,-78.481832
320,1800 FENDALL AVE,38.0434655,-78.4983348
321,100 OBSERVATORY AVE,38.0269556,-78.51367650000002
322,0 JEFFERSON PARK AVE,38.0284661,-78.50991069999999
323,300 E WATER ST,38.0294439,-78.48038840000001
324,0 CITY HALL ANNEX LOT,38.0296655,-78.4772667
325,100 2ND ST NW,38.031248,-78.4820685
326,100 MONTICELLO AVE,38.0251455,-78.47550710000002
327,200 W SOUTH ST,38.029436,-78.483058
328,100 10 1-2 ST NW,38.032737,-78.4952697
329,300 10TH ST SW,38.0298331,-78.49694699999999
330,500 15TH ST NW,38.0395833,-78.4977354
331,700 E HIGH ST,38.0313864,-78.47579379999999
332,1800 UNIVERSITY CIR,38.0419804,-78.5018868
333,300 6TH ST SW,38.0292897,-78.48963189999999
334,400 E WATER ST,38.0291892,-78.4795678
335,200 6TH ST SE,38.0284742,-78.4781114
336,1000 FOREST HILLS AVE,38.0253245,-78.4957567
337,400 PATON ST,38.0278585,-78.5023806
338,400 COMMERCE ST,38.031452,-78.4862253
339,0 LEWIS MOUNTAIN CIR,38.0388402,-78.5137716
340,2000 LEWIS MOUNTAIN RD,38.0382356,-78.5134544
341,1000 KING ST,38.0290584,-78.4972367
342,1100 KING ST,38.0288545,-78.49902469999999
343,900 GROVE ST,38.0300051,-78.495378
344,300 10TH ST NE,38.0298911,-78.47275859999999
345,400 CARLTON RD,38.0204381,-78.4711318
346,300 W SOUTH ST,38.029436,-78.483058
347,100 2ND ST SW,38.0310183,-78.48225479999999
348,0 CARROLLTON TER,38.0275412,-78.51006149999999
349,600 MAPLE ST,38.0329499,-78.4764352
350,900 WEST ST,38.0321784,-78.4943291
351,300 6TH ST SE,38.0281293,-78.47835020000001
352,100 CARROLLTON TER,38.0279958,-78.5102634
353,100 LEWIS MOUNTAIN CIR,38.0391406,-78.5139426
354,2500 WILLARD DR,38.0194007,-78.5101979
355,900 RAINIER RD,38.020944,-78.507475
356,800 RAINIER RD,38.0201497,-78.5065083
357,1500 BROAD AVE,38.0243264,-78.504694
358,1800 CHELSEA DR,38.0289874,-78.5112585
359,800 RIDGE ST,38.022195,-78.491278
360,500 PATON ST,38.0271285,-78.502145
361,100 WATER ST W,38.0300657,-78.4818768
362,700 ELM ST,38.0274748,-78.4931744
363,1600 GORDON AVE,38.0390359,-78.4989013
364,200 E HIGH ST,38.032788,-78.4797116
365,500 E MARKET ST,38.0307841,-78.4781349
366,400 ALTAMONT CIR,38.0334859,-78.4813437
367,400 HANOVER ST,38.0280571,-78.5014389
368,100 W SOUTH ST,38.029436,-78.483058
369,1400 GORDON AVE,38.0392277,-78.49681389999999
370,1300 JOHN ST,38.0368256,-78.4969704
371,900 E JEFFERSON ST,38.0304298,-78.474373
372,2000 JEFFERSON PARK AVE,38.026502,-78.5126834
373,2100 JEFFERSON PARK AVE,38.026078,-78.513497
374,200 CARLTON RD,38.0236016,-78.4686674
375,200 CAMERON LN,38.0390017,-78.5108801
376,900 BING LN,38.01974999999999,-78.50792799999999
377,300 7TH ST SW,38.03006180000001,-78.4900452
378,0 FAUQUIER RD,38.0382104,-78.5106454
379,1900 CEDAR HILL RD,38.0633398,-78.4957146
380,1900 JEFFERSON PARK AVE,38.027423,-78.5112631
381,300 10TH ST NW,38.0352244,-78.4931527
382,600 LOCVST AVE,38.03324569999999,-78.4702573
383,100 BOLLINGWOOD RD,38.0413672,-78.5098051
384,1100 FOREST HILLS AVE,38.0251434,-78.49850719999999
385,1400 FOREST RIDGE RD,38.0253195,-78.49780779999999
386,1500 UNIVERSITY AVE,38.0347543,-78.5004804
387,200 1ST ST S,38.0300563,-78.4818725
388,1100 GROVE ST,38.0293341,-78.499184
389,500 JEFFERSON ST E,38.0310995,-78.4776364
390,900 RUGBY RD,38.0439084,-78.4963933
391,300 PARKWAY ST,38.0350833,-78.4779286
392,800 CHERRY AVE,38.0283206,-78.493338
393,200 10TH ST NW,38.0339937,-78.4940096
394,2700 MCELROY DR,38.0167264,-78.5161897
395,200 FAIRWAY AVE,38.024883,-78.46369399999999
396,2300 CENTER AVE,38.0243443,-78.5102544
397,1200 MERIWETHER ST,38.03038069999999,-78.4675907
398,400 13TH ST NE,38.0292656,-78.46646059999999
399,500 ROCKLAND AVE,38.0197152,-78.4861332
400,200 BROOKWOOD DR,38.0180962,-78.49375359999999
401,200 LANKFORD AVE,38.022084,-78.4887023
402,600 10TH ST NW,38.0392786,-78.4911892
403,100 7TH ST SW,38.0314358,-78.4897388
404,800 CABELL AVE,38.0421808,-78.49634929999999
405,1900 STADIUM RD,38.0292435,-78.51317159999999
406,200 SPRIGG LANE,38.03872459999999,-78.50796129999999
407,200 GLEASON ST,38.02819119999999,-78.4844452
408,1200 W MAIN ST,38.03276930000001,-78.49659299999999
409,500 RIDGE ST,38.0271303,-78.4867045
410,300 11TH ST NE,38.02945280000001,-78.4715452
411,10 VALLEY CIR,38.0286328,-78.50640179999999
412,200 5TH ST SW,38.030368,-78.48797069999999
413,400 FAIRWAY AVE,38.0277299,-78.4619402
414,100 W MARKET ST,38.0319643,-78.4825371
415,0 MELBOURNE RD,38.0506422,-78.4717202
416,300 AVON ST,38.026794,-78.477417
417,1100 POPLAR ST,38.033632,-78.4685591
418,0 1ST ST S,38.0304323,-78.4817352
419,200 DOUGLAS AVE,38.026924,-78.473295
420,900 PAOLI ST,38.03514819999999,-78.4913572
421,800 TUNLAW PL,38.0429024,-78.4973827
422,600 HIGH ST E,38.031743,-78.4769891
423,200 SOUTH ST W,38.0296087,-78.48296719999999
424,2300 FONTAINE AV,38.0258294,-78.51666639999999
425,100 PIEDMONT AV,38.0259344,-78.518737
426,100 GILDERSLEEVE WOOD,38.0295364,-78.5072816
427,300 WATER ST E,38.0294439,-78.48038840000001
428,200 OLD PRESTON AVE,38.0325688,-78.4833029
429,800 BELMONT AVE,38.0241558,-78.4769482
430,100 SOUTH ST W,38.0293484,-78.4823499
431,200 SOUTH ST E,38.0294318,-78.483053
432,900 WATER ST E,38.0282286,-78.47397079999999
433,100 SOUTH ST E,38.0292888,-78.4824314
434,100 1 ST SOUTH,38.0307862,-78.48150509999999
435,200 1 ST SOUTH,38.0300563,-78.4818725
436,200 WATER ST W,38.0302078,-78.4828532
437,100 3 ST SE,38.0303104,-78.4799943
438,100 2ND ST SE,38.0305702,-78.4807739
439,1000 ROUGEMONT AV,38.014166,-78.47992289999999
440,100 2 ST SE,38.0305702,-78.4807739
441,800 MAIN ST W,38.0332883,-78.4979397
442,600 MAIN ST W,38.0309327,-78.4885358
443,500 MAIN ST W,38.0307806,-78.48791899999999
444, 4TH SE,38.0289031,-78.4798552
445,300 MAIN ST W,38.0302236,-78.4855953
446,1600 BURNLEY AVE,38.0422708,-78.4970246
447,900 HENRY AVE,38.0389226,-78.48680379999999
448,200 SUNSET AV,38.0204546,-78.51595780000001
449,200 SUNSET AVE,38.0204546,-78.51595780000001
450,2400 SUNSET RD,38.02301750000001,-78.51803149999999
451,26 UNIVERSITY CIR,38.0437748,-78.5037175
452,100 ROBERTSON AVE,38.024362,-78.51483739999999
453,100 MAYWOOD LN,38.0293994,-78.509058
454,600 15TH ST NW,38.0405021,-78.4971877
455,100 ROTHERY RD,38.0409253,-78.50859899999999
456,600 LOCUST AV,38.03324569999999,-78.4702573
457,400 CIRCUIT COURT LOT,38.0363483,-78.50734589999999
458,400 HIGH ST E,38.0336497,-78.48258679999999
459,500 LEXINGTON AVE,38.0330926,-78.47241939999999
460,200 JEFFERSON ST W,38.0320677,-78.4800788
461,500 LOCUST AV,38.0321568,-78.4710468
462,900 HIGH ST E,38.0313323,-78.4737057
463,400 COURT SQ,38.0312251,-78.47734609999999
464,700 FARISH ST,38.0343221,-78.4739185
465,1400 OXFORD RD,38.0464985,-78.4805001
466,2000 JEFFERSON PARK AV,38.026502,-78.5126834
467, CHANCELLOR ST,38.037536,-78.5007475
468, MONROE LN,38.0308233,-78.50311769999999
469, BRANDON AV,38.0307302,-78.50405649999999
470, KING ST,38.0292414,-78.4971994
471, GROVE ST,38.0293358,-78.4991758
472, MADISON LN,38.0375684,-78.5017127
473, VALLEY RD,38.0295351,-78.5072911
474, MAIN ST W,38.0335189,-78.4986565
475, 13TH ST NW,38.0368649,-78.4968052
476, JEFFERSON PARK AV,38.0284661,-78.50991069999999
477, 15TH ST NW,38.0381159,-78.4985215
478, GRADY AV,38.0397966,-78.495246
479, 17TH ST NW,38.0402356,-78.5000183
480, 12 1\2 ST NW,38.0337594,-78.4973622
481, MINOR RD,38.0398916,-78.5137144
482, CAMERON LN,38.0399036,-78.5107282
483, 7TH ST NE,38.0316424,-78.4759304
484, WATER ST E,38.0286062,-78.4754969
485, WATER ST LOT,38.029581,-78.48165399999999
486, 3 ST SE,38.03000189999999,-78.4801497
487, WATER ST W,38.0303072,-78.4826066
488, 4TH ST SE,38.0289031,-78.4798552
